fecha,trigo,maiz,soja,valor_usd,trigo_usd,maiz_usd,soja_usd
2024-03-06,170000.0,144500.0,250000.0,845.5,201.06445890005912,170.90479006505026,295.68302779420463
2024-03-07,170000.0,146000.0,249500.0,846.0,200.94562647754137,172.57683215130024,294.91725768321515
2024-03-08,169900.0,147000.0,250000.0,846.5,200.70880094506794,173.65623154164206,295.33372711163616
2024-03-11,169900.0,147000.0,248000.0,848.0,200.35377358490567,173.3490566037736,292.45283018867923
2024-03-12,170000.0,149000.0,250000.0,848.5,200.35356511490866,175.6040070713023,294.6375957572186
2024-03-13,170000.0,150000.0,251000.0,849.5,200.11771630370805,176.57445556209535,295.4679223072396
2024-03-14,169800.0,151500.0,251950.0,850.0,199.76470588235293,178.23529411764707,296.4117647058824
2024-03-15,170000.0,150000.0,251000.0,850.5,199.88242210464432,176.3668430335097,295.12051734273956
2024-03-18,170000.0,149000.0,253000.0,852.5,199.41348973607037,174.7800586510264,296.7741935483871
2024-03-19,171000.0,150000.0,256000.0,853.0,200.46893317702228,175.84994138335287,300.1172332942556
2024-03-20,172000.0,151000.0,260000.0,853.0,201.64126611957795,177.02227432590857,304.8065650644783
2024-03-21,172000.0,151000.0,264000.0,854.0,201.40515222482435,176.81498829039813,309.1334894613583
2024-03-22,172000.0,148300.0,259500.0,854.5,201.28730251609127,173.5517846693973,303.6863662960796
2024-03-25,172000.0,145000.0,254900.0,856.0,200.93457943925233,169.39252336448598,297.7803738317757
2024-03-26,172000.0,145000.0,250000.0,856.5,200.81727962638647,169.29363689433742,291.8855808523059
2024-03-27,172000.0,141000.0,245000.0,858.0,200.46620046620046,164.33566433566435,285.54778554778557
2024-04-03,171000.0,143700.0,242000.0,861.0,198.60627177700349,166.89895470383274,281.068524970964
2024-04-04,174000.0,145000.0,245000.0,861.5,201.97330237957053,168.31108531630878,284.38769587928033
2024-04-05,175000.0,145000.0,250000.0,862.5,202.8985507246377,168.1159420289855,289.8550724637681
2024-04-08,175000.0,147000.0,247500.0,864.0,202.5462962962963,170.13888888888889,286.4583333333333
2024-04-09,175000.0,149000.0,250000.0,864.5,202.42914979757086,172.35396182764603,289.1844997108155
2024-04-10,178000.0,150000.0,250500.0,865.0,205.78034682080926,173.41040462427745,289.59537572254334
2024-04-11,180000.0,150500.0,251000.0,865.5,207.97227036395148,173.88792605430388,290.0057770075101
2024-04-12,185000.0,152500.0,252500.0,866.5,213.50259665320254,175.99538372763993,291.40219272937105
2024-04-15,185500.0,151000.0,251000.0,868.0,213.70967741935485,173.963133640553,289.1705069124424
2024-04-16,189800.0,152000.0,251000.0,868.5,218.5377086931491,175.01439263097294,289.0040299366724
2024-04-17,191000.0,154000.0,251000.0,869.5,219.66647498562392,177.11328349626223,288.67165037377805
2024-04-18,191500.0,154000.0,249800.0,870.0,220.11494252873564,177.01149425287358,287.1264367816092
2024-04-19,193000.0,155000.0,250000.0,871.5,221.45725760183592,177.85427423981642,286.8617326448652
2024-04-22,197000.0,156500.0,250000.0,872.0,225.91743119266056,179.4724770642202,286.697247706422
2024-04-23,197500.0,158000.0,250500.0,872.5,226.36103151862463,181.0888252148997,287.10601719197706
2024-04-24,200000.0,158500.0,250500.0,873.0,229.0950744558992,181.5578465063001,286.94158075601376
2024-04-25,200000.0,159700.0,251500.0,874.0,228.83295194508008,182.72311212814645,287.75743707093824
2024-04-26,200000.0,160000.0,252000.0,875.0,228.57142857142858,182.85714285714286,288.0
2024-04-29,200000.0,158000.0,252000.0,876.5,228.18026240730177,180.2624073017684,287.50713063320023
